file_name,isin,cusip,identifier
20081106_kaupth_deliverable-obligations.xls,XS0296872939,X4342UGZ3,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0223598516,X4342UBR6,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0306851998,X4342UHV1,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0232537471,X4342UCK0,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0206352824,X4339CBK6,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,US48632GAC33,48632GAC3,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,US48632FAC59,48632FAC5,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,CH0028690557,X4342UFL5,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,CH0029917710,X4342UGT7,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0219823266,X4342UBD7,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0279632854,X4342UFJ0,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0356634872,X4342UKS4,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,US48632GAA76,48632GAA7,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0286670194,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0226781242,X4342UBZ8,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0286996037,X4342UGF7,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,US48632FAB76,48632FAB7,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0287535511,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0286259287,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0220416654,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0283691235,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0189766172,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0371036913,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0215372847,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0306243865,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0281993336,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,CAX4342UFS09,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0215427252,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,JP535201A772,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0356635093,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0298020503,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0284622718,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0345886351,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0258935658,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0356637206,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0262634503,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0263257650,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0283995453,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0296942658,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0179319628,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0200056025,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0257070879,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0287354640,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0303267768,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0303417595,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0234042223,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0300619268,X4342UHL3,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0364362714,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0326049276,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0350800073,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,US486329AA37,486329AA3,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,US48632FAA93,48632FAA9,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,US48632GAB59,48632GAB5,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0183086908,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0227526935,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0256895268,,20081106_kaupth_Senior
20081106_kaupth_deliverable-obligations.xls,XS0192870250,X4339CAU5,20081106_kaupth_Senior
