file_name,isin,cusip,identifier
20090417_abitbi_CDS_deliverable-obligations,US003924AB38,003924AB3,20090417_abitbi_CDS
20090417_abitbi_CDS_deliverable-obligations,US003924AC11,003924AC1,20090417_abitbi_CDS
20090417_abitbi_CDS_deliverable-obligations,US003924AD93,003924AD9,20090417_abitbi_CDS
20090417_abitbi_CDS_deliverable-obligations,US003924AG25,003924AG2,20090417_abitbi_CDS
20090417_abitbi_CDS_deliverable-obligations,US003924AH08,003924AH0,20090417_abitbi_CDS
20090417_abitbi_CDS_deliverable-obligations,USC00246AC92,C00246AC9,20090417_abitbi_CDS
20090417_abitbi_CDS_deliverable-obligations,US003669AF58,003669AF5,20090417_abitbi_CDS
20090417_abitbi_CDS_deliverable-obligations,US003669AL27,003669AL2,20090417_abitbi_CDS
20090417_abitbi_CDS_deliverable-obligations,US003669AK44,003669AK4,20090417_abitbi_CDS
20090417_abitbi_CDS_deliverable-obligations,US003669AC28,003669AC2,20090417_abitbi_CDS
20090417_abitbi_CDS_deliverable-obligations,US003669AJ70,003669AJ7,20090417_abitbi_CDS
20090417_abitbi_CDS_deliverable-obligations,US003669AG32,003669AG3,20090417_abitbi_CDS
20090417_abitbi_CDS_deliverable-obligations,US003672AA09,003672AA0,20090417_abitbi_CDS
