file_name,isin,cusip,identifier
20090421_chacom_CDS_deliverable-obligations,US16117PAK66,16117PAK6,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US16117PAZ36,16117PAZ3,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US16117PAV22,16117PAV2,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US16117PAW05,16117PAWO,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US16117PAF71,16117PAF7,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US16117PBB58,16117PBB5,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US16117PBD15,16117PBD1,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US16117PBH29,16117PBH2,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US16117PAM23,16117PAM2,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US12502BAA17,12502BAA1,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,USU1251NAA82,U1251NAA8,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US12501BAN47,12501BAN4,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US12501BAS34,12501BAS3,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US12501BAP94,12501BAP9,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US12501BAQ77,12501BAQ7,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US12501BAR50,12501BAR5,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US12501BAT17,12501BAT1,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US12502BAE39,12502BAE3,20090421_chacom_CDS
20090421_chacom_CDS_deliverable-obligations,US12502BAC72,12502BAC7,20090421_chacom_CDS
