file_name,isin,cusip,identifier
20090612_genmtr_CDS_deliverable-obligations,,370442691,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,,370442BB,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,,37045EAS,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,XS0171942757,,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,,370442BS,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,XS0171922643,,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,,370442AU,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,,370442AJ,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,,370442AN,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,,37045EAG,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,XS0171908063,,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,,370442BW,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,,370442AV,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,,370442AR,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,,370442AZ,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,,370442741,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,,370442733,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,XS0171943649,,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,,370442BT,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,,370442717,20090612_genmtr_CDS
20090612_genmtr_CDS_deliverable-obligations,,370442AT,20090612_genmtr_CDS
