file_name,isin,identifier
20091120_citgrp_CDS_deliverable-obligations,US12560PCL31,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US125581AM06,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WB833,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WB593,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WB262,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WPC90,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WJP77,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WLV18,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WSJ17,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WSM46,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WJV46,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WMB45,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WPU98,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WPL99,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12560PDL22,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US125581AQ10,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WSX01,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WTE11,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WKE02,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WQC81,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WQL80,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,CHO029382659,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,CHO029407191,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US125581CX43,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WTL53,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WMP31,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WMH15,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WKL45,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WRC72,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WQU89,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12560PFN69,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WKS97,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WMV09,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WNB36,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WLE92,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WKX82,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,USC25035AA13,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WNH06,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WA926,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WLL36,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WNR87,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WLS88,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US125577AS55,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US125577AT39,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WC336,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WLY56,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WNZ04,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WC740,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12560PDB40,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WSR33,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WPH87,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WME83,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WPR69,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WSE20,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WSV45,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,CA125581AU24,20091120_citgrp_CDS
20091120_citgrp_CDS_deliverable-obligations,US12557WTB71,20091120_citgrp_CDS
