file_name,isin,Regulation,identifier
20100325_aiful_CDS_deliverable-obligations.xls,USJ00557CG11,RegS,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,US00873NAA19,144A,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,JP310504A549,,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,JP310504A358,,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,JP310504A069,,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,JP310504B570,,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,USJ00557CM88,RegS,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,US00873NAC74,144A,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,JP310504A5A0,,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,JP310504B455,,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,USJ00557CR75,RegS,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,US00873NAD57,144A,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,JP310504A515,,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,JP310504A739,,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,JP310504B547,,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,JP310504A5B8,,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,JP310504B356,,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,JP310504B5A9,,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,JP310504B4A2,,20100325_aiful_CDS
20100325_aiful_CDS_deliverable-obligations.xls,XS0112310635,,20100325_aiful_CDS
