file_name,isin,identifier
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0295653330,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0232169069,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0279584352,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0234223799,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0247909327,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0223189266,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0278447155,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0279973845,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0307280338,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0241490720,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0241475762,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0307999333,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0329580442,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0366099231,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0295415318,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0309359262,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0264837609,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0273602622,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0278553937,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0282161495,20101209_ANGBKL_CDS-Subordinated-Bucket3
20101209_ANGBKL_CDS_deliverable-obligations.xls,XS0283695228,20101209_ANGBKL_CDS-Subordinated-Bucket3
