file_name,isin,identifier
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0295653330,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0232169069,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0279584352,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0234223799,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0247909327,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0223189266,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0278447155,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0279973845,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0307280338,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0241490720,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0241475762,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0307999333,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0329580442,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0366099231,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0295415318,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0309359262,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0264837609,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0273602622,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0278553937,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0559203467,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0559206643,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0282161495,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0283695228,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0243157897,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0278110357,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0286152482,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0288559585,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0290744530,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0502258287,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0298047290,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0294693774,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0293036819,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0363778449,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0306654657,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0307691559,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0382011749,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0276892212,20110202_ANGBKL2_CDS-25-years-maturity
20110202_ANGBKL2_CDS_deliverable-obligations.xls,XS0308096709,20110202_ANGBKL2_CDS-25-years-maturity
