file_name,isin,identifier
20110630_AIB_CDS_deliverable-obligations.XLS,XS0208845924,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0266838662,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0287772130,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0294958318,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0368068937,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0435957682,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0498532117,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0465876349,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0455308923,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0302797351,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0367255592,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0545957432,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0504801274,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0499510609,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0496359745,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0496223255,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0496222877,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0494617631,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0484576813,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0586658949,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0264548917,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0214107053,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0526755292,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,XS0547999424,20110630_AIB_CDS-Subordinated
20110630_AIB_CDS_deliverable-obligations.XLS,CH0116956167,20110630_AIB_CDS-Subordinated
