file_name,isin,identifier
20111005_IPBS2_CDS_deliverable-obligations.XLS,XS0231393751,20111005_IPBS2_CDS-Senior-Bucket-1
20111005_IPBS2_CDS_deliverable-obligations.XLS,XS0271046491,20111005_IPBS2_CDS-Senior-Bucket-1
20111005_IPBS2_CDS_deliverable-obligations.XLS,XS0234960895,20111005_IPBS2_CDS-Senior-Bucket-1
20111005_IPBS2_CDS_deliverable-obligations.XLS,XS0241120988,20111005_IPBS2_CDS-Senior-Bucket-1
20111005_IPBS2_CDS_deliverable-obligations.XLS,XS0213016800,20111005_IPBS2_CDS-Senior-Bucket-1
20111005_IPBS2_CDS_deliverable-obligations.XLS,XS0299117381,20111005_IPBS2_CDS-Senior-Bucket-1
20111005_IPBS2_CDS_deliverable-obligations.XLS,XS0478619694,20111005_IPBS2_CDS-Senior-Bucket-1
20111005_IPBS2_CDS_deliverable-obligations.XLS,US46271HAA59,20111005_IPBS2_CDS-Senior-Bucket-1
20111005_IPBS2_CDS_deliverable-obligations.XLS,XS0288209330,20111005_IPBS2_CDS-Senior-Bucket-1
20111005_IPBS2_CDS_deliverable-obligations.XLS,XS0504108118,20111005_IPBS2_CDS-Senior-Bucket-1
20111005_IPBS2_CDS_deliverable-obligations.XLS,XS0218115482,20111005_IPBS2_CDS-Senior-Bucket-1
20111005_IPBS2_CDS_deliverable-obligations.XLS,XS0178645999,20111005_IPBS2_CDS-Senior-Bucket-1
20111005_IPBS2_CDS_deliverable-obligations.XLS,XS0231393249,20111005_IPBS2_CDS-Senior-Bucket-1
