file_name,isin,identifier
20120202_NRAMC_CDS_deliverable-obligations.xls,XS0241158103,20120202_NRAMC_CDS-Bucket-1
20120202_NRAMC_CDS_deliverable-obligations.xls,XS0283156866,20120202_NRAMC_CDS-Bucket-1
20120202_NRAMC_CDS_deliverable-obligations.xls,XS0213017287,20120202_NRAMC_CDS-Bucket-1
20120202_NRAMC_CDS_deliverable-obligations.xls,XS0290984920,20120202_NRAMC_CDS-Bucket-1
20120202_NRAMC_CDS_deliverable-obligations.xls,XS0218291614,20120202_NRAMC_CDS-Bucket-1
20120202_NRAMC_CDS_deliverable-obligations.xls,XS0217882017,20120202_NRAMC_CDS-Bucket-1
20120202_NRAMC_CDS_deliverable-obligations.xls,XS0254766032,20120202_NRAMC_CDS-Bucket-1
20120202_NRAMC_CDS_deliverable-obligations.xls,XS0261803927,20120202_NRAMC_CDS-Bucket-1
20120202_NRAMC_CDS_deliverable-obligations.xls,XS0261805385,20120202_NRAMC_CDS-Bucket-1
20120202_NRAMC_CDS_deliverable-obligations.xls,XS0321215948,20120202_NRAMC_CDS-Bucket-1
20120202_NRAMC_CDS_deliverable-obligations.xls,XS0268543773,20120202_NRAMC_CDS-Bucket-1
20120202_NRAMC_CDS_deliverable-obligations.xls,XS0283621372,20120202_NRAMC_CDS-Bucket-1
20120202_NRAMC_CDS_deliverable-obligations.xls,XS0297756214,20120202_NRAMC_CDS-Bucket-1
20120202_NRAMC_CDS_deliverable-obligations.xls,XS0254697807,20120202_NRAMC_CDS-Bucket-1
20120202_NRAMC_CDS_deliverable-obligations.xls,XS0307941764,20120202_NRAMC_CDS-Bucket-1
20120202_NRAMC_CDS_deliverable-obligations.xls,XS0249073767,20120202_NRAMC_CDS-Bucket-1
