file_name,isin,identifier
20120319_GREECE_CDS_deliverable-obligations,GR0128010676,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0128011682,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0128012698,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0128013704,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0128014710,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0133006198,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0133007204,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0133008210,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0133009226,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0133010232,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0138005716,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0138006722,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0138007738,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0138008744,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0138009759,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0138010765,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0138011771,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0138012787,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0138013793,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0138014809,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0026111188,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR0002087501,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,CH0021839524,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,IT0006527532,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,JP530000BS19,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,JP530000CR76,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,JP530000CS83,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0097010440,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0110307930,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0147393861,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0165956672,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0191352847,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0192416617,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0223064139,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0223870907,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0224227313,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0251384904,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0255739350,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0256563429,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0260024277,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0260349492,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0357333029,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0372384064,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0280601658,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0165688648,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0160208772,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,FR0000489676,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0142390904,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0078057725,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0079012166,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0097596463,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0097598329,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0286916027,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,GR1150001666,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0198741687,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0193324380,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,FR0010027557,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0169599361,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,JP530005AR32,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,JP530005ASCO,20120319_GREECE_CDS
20120319_GREECE_CDS_deliverable-obligations,XS0308854149,20120319_GREECE_CDS
