file_name,isin,identifier
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0479021932,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0185887576,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0714735890,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0367662987,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0371519983,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0162373889,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0330119206,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0238485972,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0197373813,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0242881372,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0245367775,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0494764185,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0248583089,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0250033221,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0248703836,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0255121468,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0265051192,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0268770673,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0271456807,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0272646380,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0206162298,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0206024498,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0285107057,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0286612402,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0286746432,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0287370414,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0185710216,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0290732360,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0214702879,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0292515920,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0294781983,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0303512825,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0326279782,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0336307607,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0280468397,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0241055473,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0182580646,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0166373786,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0304004459,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0255749318,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0416768686,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0460318495,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0544664989,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0822050125,20130404_SNSBNK_CDS-SNR-or-SUB
20130404_SNSBNK_CDS-SNR-or-SUB_deliverable-obligations,XS0205235491,20130404_SNSBNK_CDS-SNR-or-SUB
