file_name,isin,identifier
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,ES0214977128,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,XS0372107739,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,ES0214977136,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,ES0314950686,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,ES0314950579,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,ES0214977151,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,ES0314950603,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,ES0314950611,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,ES0314950629,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,ES0314950637,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,ES0214977060,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,ES0314950553,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,ES0314950561,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,ES0214977094,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,ES0214950232,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,ES0214977144,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,XS0289213497,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,XS0329522832,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,XS0362375544,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
20130605_BANKSA_CDS-SNR-or-SUB_deliverable-obligations,ES0214977110,20130605_BANKSA_CDS-SNR-or-SUB-Bucket-2
