file_name,isin,identifier
20140521_TXU-Texas_CDS_deliverable-obligations,US882330AF05,20140521_TXU-Texas_CDS
20140521_TXU-Texas_CDS_deliverable-obligations,US882330AG87,20140521_TXU-Texas_CDS
20140521_TXU-Texas_CDS_deliverable-obligations,US882330AC73,20140521_TXU-Texas_CDS
20140521_TXU-Texas_CDS_deliverable-obligations,USU88235AE33,20140521_TXU-Texas_CDS
20140521_TXU-Texas_CDS_deliverable-obligations,US882330AH60,20140521_TXU-Texas_CDS
20140521_TXU-Texas_CDS_deliverable-obligations,US882330AB90,20140521_TXU-Texas_CDS
20140521_TXU-Texas_CDS_deliverable-obligations,USU88235AD59,20140521_TXU-Texas_CDS
20140521_TXU-Texas_CDS_deliverable-obligations,US882330AM55,20140521_TXU-Texas_CDS
20140521_TXU-Texas_CDS_deliverable-obligations,USU88235AG80,20140521_TXU-Texas_CDS
20140521_TXU-Texas_CDS_deliverable-obligations,US882330AQ69,20140521_TXU-Texas_CDS
20140521_TXU-Texas_CDS_deliverable-obligations,US882330AP86,20140521_TXU-Texas_CDS
