file_name,isin,Regulation,identifier
20160114_ABNG_CDS_deliverable-obligations,XS0875624925,RestrictedNotes,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS0875275819,RestrictedNotes,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS0875624925,UnrestrictedNotes,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS0875275819,UnrestrictedNotes,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,USE0000TAE13,RegS,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1219438592,RegS,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,US00289VAB99,Rule144A,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1113021031,RegS,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1219439137,Rule144A,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,USE00020AA01,RegS,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1113024563,Rule144A,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,US00289WAA99,Rule144A,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS0882237729,RegS,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,USE0002VAC84,RegS,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS0882238024,Rule144A,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1048657800,RegS,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,US00289RAA05,Rule144A,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1048658105,Rule144A,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS0498817542,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS0481758307,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1242834932,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1120399966,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1124473775,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1131168541,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1131445642,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1133663382,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1135339197,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1139081654,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1172106772,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1173996569,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1187075590,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1187092843,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1193921878,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1196276130,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1198227693,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1204187857,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1210086028,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1226308119,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1230124536,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1240754322,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1244565419,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1246145111,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1249376804,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1252235673,,20160114_ABNG_CDS
20160114_ABNG_CDS_deliverable-obligations,XS1265216421,,20160114_ABNG_CDS
