file_name,cusip,identifier
20160817_CMNWPR_CDS_deliverable-obligations,74514LKJ5,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LNA1,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LZWO,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,745145YW,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,745145YW6,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LNC7,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LTM9,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LZX8,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,745145YZ,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,745145YZ9,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LZY6,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LC47,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LA49,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LC54,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LA56,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LC62,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LJW8,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,745145AX0,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LA64,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LJX6,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LST5,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LVKO,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LDC8,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LJY4,20160817_CMNWPR_CDS
20160817_CMNWPR_CDS_deliverable-obligations,74514LA80,20160817_CMNWPR_CDS
