file_name,isin,Regulation,identifier
20170914_NSINO_CDS_deliverable-obligations,XS1181663292,RegS,20170914_NSINO_CDS
20170914_NSINO_CDS_deliverable-obligations,XS1193909154,RegS,20170914_NSINO_CDS
20170914_NSINO_CDS_deliverable-obligations,USR59730AA00,RegS,20170914_NSINO_CDS
20170914_NSINO_CDS_deliverable-obligations,XS1394812595,RegS,20170914_NSINO_CDS
20170914_NSINO_CDS_deliverable-obligations,USR80036AQ09,RegS,20170914_NSINO_CDS
20170914_NSINO_CDS_deliverable-obligations,XS1181663532,Rule144A,20170914_NSINO_CDS
20170914_NSINO_CDS_deliverable-obligations,XS1193907968,Rule144A,20170914_NSINO_CDS
20170914_NSINO_CDS_deliverable-obligations,US65653AAA88,Rule144A,20170914_NSINO_CDS
20170914_NSINO_CDS_deliverable-obligations,XS1394812751,Rule144A,20170914_NSINO_CDS
20170914_NSINO_CDS_deliverable-obligations,US656533AC01,Rule144A,20170914_NSINO_CDS
