file_name,isin,Regulation,identifier
20171213_PDV_CDS_deliverable-obligations,USP7807HAV70,regulations,20171213_PDV_CDS
20171213_PDV_CDS_deliverable-obligations,US716558AH40,rule144A,20171213_PDV_CDS
20171213_PDV_CDS_deliverable-obligations,USP7807HAP03,regulations,20171213_PDV_CDS
20171213_PDV_CDS_deliverable-obligations,US716558AD36,rule144A,20171213_PDV_CDS
20171213_PDV_CDS_deliverable-obligations,USP7807HAM71,regulations,20171213_PDV_CDS
20171213_PDV_CDS_deliverable-obligations,US716558AC52,rule144A,20171213_PDV_CDS
20171213_PDV_CDS_deliverable-obligations,XS1126891685,regulations,20171213_PDV_CDS
20171213_PDV_CDS_deliverable-obligations,USP7807HAT25,regulations,20171213_PDV_CDS
20171213_PDV_CDS_deliverable-obligations,US716558AG66,rule144A,20171213_PDV_CDS
20171213_PDV_CDS_deliverable-obligations,USP7807HAR68,regulations,20171213_PDV_CDS
20171213_PDV_CDS_deliverable-obligations,US716558AF83,rule144A,20171213_PDV_CDS
20171213_PDV_CDS_deliverable-obligations,XS0294364954,regulations,20171213_PDV_CDS
20171213_PDV_CDS_deliverable-obligations,USP7807HAQ85,regulations,20171213_PDV_CDS
20171213_PDV_CDS_deliverable-obligations,US716558AE19,rule144A,20171213_PDV_CDS
20171213_PDV_CDS_deliverable-obligations,XS0294367205,regulations,20171213_PDV_CDS
