file_name,isin,cusip,identifier
20190724_WFT_CDS_deliverable-obligations,,94707VAA8,20190724_WFT_CDS-Senior
20190724_WFT_CDS_deliverable-obligations,,947075AJ6,20190724_WFT_CDS-Senior
20190724_WFT_CDS_deliverable-obligations,,947075AHO,20190724_WFT_CDS-Senior
20190724_WFT_CDS_deliverable-obligations,,94707VAC4,20190724_WFT_CDS-Senior
20190724_WFT_CDS_deliverable-obligations,,947075AK3,20190724_WFT_CDS-Senior
20190724_WFT_CDS_deliverable-obligations,,947075AN7,20190724_WFT_CDS-Senior
20190724_WFT_CDS_deliverable-obligations,,947075AL1,20190724_WFT_CDS-Senior
20190724_WFT_CDS_deliverable-obligations,USG9508CAA20,,20190724_WFT_CDS-Senior
20190724_WFT_CDS_deliverable-obligations,,94707JAC1,20190724_WFT_CDS-Senior
20190724_WFT_CDS_deliverable-obligations,,94707JAA5,20190724_WFT_CDS-Senior
20190724_WFT_CDS_deliverable-obligations,USU9432JAA26,,20190724_WFT_CDS-Senior
20190724_WFT_CDS_deliverable-obligations,,947075AB3,20190724_WFT_CDS-Senior
20190724_WFT_CDS_deliverable-obligations,,947074AK6,20190724_WFT_CDS-Senior
20190724_WFT_CDS_deliverable-obligations,,947075AE7,20190724_WFT_CDS-Senior
20190724_WFT_CDS_deliverable-obligations,,947075AG2,20190724_WFT_CDS-Senior
20190724_WFT_CDS_deliverable-obligations,,94707VAB6,20190724_WFT_CDS-Senior
20190724_WFT_CDS_deliverable-obligations,,94707VAD2,20190724_WFT_CDS-Senior
