file_name,isin,identifier
20200519_ECUA_CDS_deliverable-obligations,XS1458516967,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS1458514673,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS1626768656,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS1626768730,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS1080331181,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS1080330704,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS2058848826,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS2058845210,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS1535072109,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS1535071986,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS1626529157,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS1626530320,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS1707041429,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS1707041262,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS1755432363,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS1755429732,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS1929377015,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS1929376710,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS2058866307,20200519_ECUA_CDS
20200519_ECUA_CDS_deliverable-obligations,XS2058864948,20200519_ECUA_CDS
