file_name,isin,Regulation,identifier
20201020_SELEGRO_CDS_deliverable-obligations,XS1756356611,Rule144A,20201020_SELEGRO_CDS
20201020_SELEGRO_CDS_deliverable-obligations,XS1756356611,RegulationS,20201020_SELEGRO_CDS
20201020_SELEGRO_CDS_deliverable-obligations,XS1756356371,Rule144A,20201020_SELEGRO_CDS
20201020_SELEGRO_CDS_deliverable-obligations,XS1756356371,RegulationS,20201020_SELEGRO_CDS
20201020_SELEGRO_CDS_deliverable-obligations,XS1756359391,Rule144A,20201020_SELEGRO_CDS
20201020_SELEGRO_CDS_deliverable-obligations,XS1756359391,RegulationS,20201020_SELEGRO_CDS
20201020_SELEGRO_CDS_deliverable-obligations,XS1756359045,Rule144A,20201020_SELEGRO_CDS
20201020_SELEGRO_CDS_deliverable-obligations,XS1756359045,RegulationS,20201020_SELEGRO_CDS
20201020_SELEGRO_CDS_deliverable-obligations,XS1756298078,Rule144A,20201020_SELEGRO_CDS
20201020_SELEGRO_CDS_deliverable-obligations,XS1756298078,RegulationS,20201020_SELEGRO_CDS
20201020_SELEGRO_CDS_deliverable-obligations,XS1756227309,Rule144A,20201020_SELEGRO_CDS
20201020_SELEGRO_CDS_deliverable-obligations,XS1756227309,RegulationS,20201020_SELEGRO_CDS
