file_name,cusip,identifier
20220607_TALEENE_CDS_deliverable-obligations,ZS5254181,20220607_TALEENE_CDS
20220607_TALEENE_CDS_deliverable-obligations,87422VAF5,20220607_TALEENE_CDS
20220607_TALEENE_CDS_deliverable-obligations,AZ2951269,20220607_TALEENE_CDS
20220607_TALEENE_CDS_deliverable-obligations,87422VAG3,20220607_TALEENE_CDS
20220607_TALEENE_CDS_deliverable-obligations,BJ6018631,20220607_TALEENE_CDS
20220607_TALEENE_CDS_deliverable-obligations,87422VAJ7,20220607_TALEENE_CDS
20220607_TALEENE_CDS_deliverable-obligations,AN0872266,20220607_TALEENE_CDS
20220607_TALEENE_CDS_deliverable-obligations,87422VAB4,20220607_TALEENE_CDS
20220607_TALEENE_CDS_deliverable-obligations,87422VAA6,20220607_TALEENE_CDS
20220607_TALEENE_CDS_deliverable-obligations,AQ1235219,20220607_TALEENE_CDS
20220607_TALEENE_CDS_deliverable-obligations,AQ0536435,20220607_TALEENE_CDS
20220607_TALEENE_CDS_deliverable-obligations,87422VAE8,20220607_TALEENE_CDS
20220607_TALEENE_CDS_deliverable-obligations,69352JAK3,20220607_TALEENE_CDS
