file_name,isin,Regulation,identifier
20220912_RUSSIA_CDS_deliverable-obligations,US78307ADG58,Rule144A,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,US78307ADG58,RegulationS,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,XS0971721450,Rule144A,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,XS0971721450,RegulationS,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,RU000A0JWHB2,Rule144A,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,RU000A0JWHB2,RegulationS,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,RU000A0JWHA4,Rule144A,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,RU000A0JWHA4,RegulationS,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,RU000A0JXTT7,Rule144A,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,RU000A0JXTT7,RegulationS,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,RU000A0JXTS9,Rule144A,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,RU000A0JXTS9,RegulationS,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,US78307AAE38,Rule144A,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,US78307AAE38,RegulationS,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,XS0088543193,Rule144A,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,XS0088543193,RegulationS,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,US78307ACZ49,Rule144A,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,US78307ACZ49,RegulationS,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,XS0114288789,Rule144A,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,XS0114288789,RegulationS,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,US78307ADE01,Rule144A,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,US78307ADE01,RegulationS,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,XS0767473852,Rule144A,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,XS0767473852,RegulationS,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,US78307ADH32,Rule144A,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,US78307ADH32,RegulationS,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,XS0971721963,Rule144A,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,XS0971721963,RegulationS,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,RU000A0JXU22,Rule144A,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,RU000A0JXU22,RegulationS,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,RU000A0JXU14,Rule144A,20220912_RUSSIA_CDS
20220912_RUSSIA_CDS_deliverable-obligations,RU000A0JXU14,RegulationS,20220912_RUSSIA_CDS
