file_name,isin,Regulation,identifier
20220928_UKRAIN_CDS_deliverable-obligations,US903724AP76,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US903724AP76,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS1303921214,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS1303921214,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US903724AQ59,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US903724AQ59,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS1303921487,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS1303921487,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US903724AR33,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US903724AR33,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS1303925041,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS1303925041,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US903724BW19,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US903724BW19,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS1902171591,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS1902171591,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US903724AS16,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US903724AS16,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS1303925470,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS1303925470,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US903724AT98,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US903724AT98,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS1303926528,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS1303926528,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US903724AU61,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US903724AU61,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS1303927179,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS1303927179,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US903724BV36,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US903724BV36,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS1902171757,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS1902171757,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US90372UAR59,Rule144A,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,US90372UAR59,RegulationS,20220928_UKRAIN_CDS
20220928_UKRAIN_CDS_deliverable-obligations,XS2010028699,Rule144A,20220928_UKRAIN_CDS
