identifier,auction_name,date,ticker,box_title,multiple_final_prices,final_price,IMM,NOI
20051104_delphi_CDS,Delphi,4th November 2005,delphi,CDS,False,63.375,66,$99 million to sell
20061128_dura_subordinated_CDS,Dura Subordinated,28th November 2006,dura_subordinated,CDS,False,3.5,4.5,$77 million to sell
20060331_dana_corporation_CDS,Dana Corporation,31st March 2006,dana_corporation,CDS,False,75,75.125,$41 million to sell
20060117_calpine_CDS,Calpine,17th January 2006,calpine,CDS,False,19.125,20,$45 million to sell
20061128_dura_senior_CDS,Dura Senior,"November 28, 2006",dura_senior,CDS,False,24.125,24.875,$20m (offer side)
20071023_movie_gallery_LCDS,Movie Gallery,"October 23, 2007",movie_gallery,LCDS,False,91.5,90.875,$30.5 million (bid side)
20081217_hawtel_CDS,Hawaiian Telcom,17th December 2008,hawtel,CDS,False,40.125,39.125,$8.5 million to sell
20081209_masoni_CDS,Masonite,9th December 2008,masoni,CDS,False,52.5,51.125,$18 million to buy
20081106_kaupth_Senior,Kaupthing Bank,6th November 2008,kaupth,Senior,True,6.625,5.625,€974 million to sell
20081106_kaupth_Subordinated,Kaupthing Bank,6th November 2008,kaupth,Subordinated,True,2.375,1.375,€11 million to sell
20081105_glitni_Senior,Glitnir,5th November 2008,glitni,Senior,True,3,2,€187 million to sell
20081105_glitni_Subordinated,Glitnir,5th November 2008,glitni,Subordinated,True,0.125,1.125,€55 million to sell
20081104_landsb_Senior,Landsbanki,4th November 2008,landsb,Senior,True,1.25,3.375,€454 million to sell
20081104_landsb_Subordinated,Landsbanki,4th November 2008,landsb,Subordinated,True,0.125,1.375,€63 million to sell
20081023_washmu_CDS,Washington Mutual,23rd October 2008,washmu,CDS,False,57,63.625,$988 million to sell.
20081010_lehbro_CDS,Lehman Brothers,10th October 2008,lehbro,CDS,False,8.625,9.75,$4.92 billion to sell
20081006_famefrmc_Fannie-Mae-Senior,Fannie Mae and Freddie Mac,6th October 2008,famefrmc,Fannie-Mae-Senior,True,91.51,92.4,$12 million to buy
20081006_famefrmc_Fannie-Mae-Subordinated,Fannie Mae and Freddie Mac,6th October 2008,famefrmc,Fannie-Mae-Subordinated,True,99.9,92.65,$608 million to buy
20081006_famefrmc_Freddie-Mac-Senior,Fannie Mae and Freddie Mac,6th October 2008,famefrmc,Freddie-Mac-Senior,True,94,93.75,$79 million to buy
20081006_famefrmc_Freddie-Mac-Subordinated,Fannie Mae and Freddie Mac,6th October 2008,famefrmc,Freddie-Mac-Subordinated,True,98,93.8,$542 million to buy
20081002_tembec_CDS,Tembec,2nd October 2008,tembec,CDS,False,83,85.875,$60 million to sell
20080219_quebcr_CDS,Quebecor,19th February 2008,quebcr,CDS,False,41.25,42.125,$66 Million to sell
20091216_nafukr_CDS,NJSC Naftogaz of Ukraine,16th December 2009,nafukr,CDS,False,83.5,84.125,$135.645 million to sell
